,station_id,lat,lng,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
485,32029,38.977093,-77.094589,0,0,0,184,1262,1323,1346,1374,753,1058
486,32032,39.076331,-77.141378,0,0,0,21,265,204,250,404,424,362
487,32034,38.99403485,-77.03037143,0,0,0,63,536,1146,1397,1742,1173,1031
488,32035,38.99944733,-77.03152067,0,0,0,48,477,606,607,712,532,528
489,32036,38.997033,-77.025608,0,0,0,136,945,1120,1448,1728,1112,1543
490,32037,39.11462733,-77.17157933,0,0,0,43,682,509,461,614,721,586
491,32038,39.110314,-77.182669,0,0,0,34,544,811,1057,853,623,510
492,32039,38.99956,-77.10965283,0,0,0,42,821,848,1072,1030,1189,1386
493,32040,38.96115,-77.088659,0,0,0,42,1015,1095,1144,1471,1271,1397
494,32042,39.097636,-77.196636,0,0,0,0,32,102,143,51,22,39
495,32043,38.99754833,-77.023951,0,0,0,0,377,487,535,625,427,523
496,32044,39.085394,-77.145803,0,0,0,0,415,439,420,298,274,296
497,32045,39.119765,-77.166093,0,0,0,0,1104,1031,1162,1080,1226,1265
498,32046,38.964992,-77.103381,0,0,0,0,1399,2152,2546,3427,2887,2803
499,32047,39.084379,-77.146866,0,0,0,0,267,392,534,729,477,490
500,32048,38.984691,-77.094537,0,0,0,0,2736,4038,3867,4014,3153,2805
501,32049,38.98672667,-76.99998783,0,0,0,0,243,598,359,640,501,523
502,32050,38.997623,-77.034502,0,0,0,0,21,534,543,403,270,294
503,32051,38.994113,-77.076986,0,0,0,0,0,0,1006,851,161,173
504,32052,39.105295,-77.194774,0,0,0,0,0,0,170,177,159,197
505,32053,38.999378,-77.097882,0,0,0,0,0,0,910,1602,1139,1100
506,32054,38.999679,-77.051168,0,0,0,0,0,0,273,384,309,295
507,32055,38.9799515,-77.09341017,0,0,0,0,0,0,1549,2562,2296,2759
508,32056,38.99573833,-77.03869833,0,0,0,0,0,0,744,844,716,835
509,32057,39.014716,-77.107143,0,0,0,0,0,0,0,396,216,340
510,32058,38.99089033,-77.01628467,0,0,0,0,0,0,37,1158,1053,761
511,32059,38.98265,-76.988311,0,0,0,0,0,0,0,132,152,134
512,32061,38.988101,-76.988422,0,0,0,0,0,0,0,128,186,145
513,32062,39.03842383,-77.05102041,0,0,0,0,0,0,0,576,569,607
514,32063,39.044887,-77.047788,0,0,0,0,0,0,0,363,112,254
515,32064,39.035965,-77.048395,0,0,0,0,0,0,0,166,114,131
516,32065,39.043272,-77.053085,0,0,0,0,0,0,0,258,374,417
517,32066,39.032029,-77.04735,0,0,0,0,0,0,0,242,132,107
518,32067,39.121327,-77.164969,0,0,0,0,0,0,0,992,1435,899
519,32069,39.12333,-77.16486,0,0,0,0,0,0,0,90,175,145
520,32070,39.105642,-77.20386,0,0,0,0,0,0,0,58,70,64
521,32071,39.106971,-77.192645,0,0,0,0,0,0,0,101,161,285
522,32072,39.106152,-77.202354,0,0,0,0,0,0,0,23,100,160
523,32073,39.0431845,-77.05001417,0,0,0,0,0,0,0,0,112,100
524,32074,39.062041,-77.120776,0,0,0,0,0,0,0,0,612,732
525,32075,39.04753,-77.11287,0,0,0,0,0,0,0,0,1495,1726
526,32076,39.04899133,-77.10932483,0,0,0,0,0,0,0,0,321,336
527,32077,39.04982367,-77.113622,0,0,0,0,0,0,0,0,405,286
528,32078,39.04317,-77.1135,0,0,0,0,0,0,0,0,841,745
529,32079,39.0486795,-77.12559533,0,0,0,0,0,0,0,0,946,816
530,32081,39.06219,-77.129235,0,0,0,0,0,0,0,0,560,616
531,32082,39.00044883,-77.00080133,0,0,0,0,0,0,0,0,154,266
532,32083,39.050539,-77.115212,0,0,0,0,0,0,0,0,498,549
533,32084,39.0472325,-77.05110233,0,0,0,0,0,0,0,0,0,54
534,32085,39.03161433,-77.0041845,0,0,0,0,0,0,0,0,0,0
535,32086,39.081638,-76.945495,0,0,0,0,0,0,0,0,0,0
536,32088,39.077875,-76.941866,0,0,0,0,0,0,0,0,0,0
537,32089,39.03920517,-76.99178617,0,0,0,0,0,0,0,0,0,0
538,32090,39.04477433,-76.9809245,0,0,0,0,0,0,0,0,0,0
539,32091,39.0456521,-76.9854381,0,0,0,0,0,0,0,0,0,0
540,32092,39.085314,-76.940547,0,0,0,0,0,0,0,0,0,0
541,32093,39.04104,-76.987125,0,0,0,0,0,0,0,0,0,0
542,32094,39.03823083,-76.994582,0,0,0,0,0,0,0,0,0,0
543,32200,38.929261,-77.240654,0,0,0,0,0,0,28,211,190,165
544,32201,38.92403,-77.235955,0,0,0,0,0,0,8,146,90,88
545,32203,38.919475,-77.221179,0,0,0,0,0,0,0,233,216,271
546,32204,38.920939,-77.222115,0,0,0,0,0,0,11,932,1225,1977
547,32205,38.924437,-77.217664,0,0,0,0,0,0,53,667,599,669
548,32206,38.931884,-77.2192905,0,0,0,0,0,0,32,86,102,141
549,32207,38.928919,-77.225394,0,0,0,0,0,0,34,250,343,258
550,32208,38.932636,-77.231825,0,0,0,0,0,0,16,130,95,77
551,32209,38.970046,-77.338686,0,0,0,0,0,0,0,114,77,63
552,32210,38.962524,-77.361902,0,0,0,0,0,0,49,210,202,147
553,32211,38.962095,-77.358815,0,0,0,0,0,0,18,53,47,64
554,32212,38.960574,-77.356324,0,0,0,0,0,0,41,248,184,262
555,32213,38.955079,-77.351649,0,0,0,0,0,0,106,770,801,685
556,32214,38.957037,-77.359718,0,0,0,0,0,0,94,1381,1326,1587
557,32215,38.94660792,-77.33939141,0,0,0,0,0,0,201,2302,2460,1751
558,32216,38.959633,-77.358741,0,0,0,0,0,0,35,429,309,313
559,32217,38.95534,-77.357611,0,0,0,0,0,0,0,498,460,430
560,32218,38.960084,-77.353414,0,0,0,0,0,0,55,518,322,470
561,32220,38.951443,-77.340377,0,0,0,0,0,0,0,735,860,1302
562,32221,38.92286367,-77.22767933,0,0,0,0,0,0,15,174,345,142
563,32223,38.970412,-77.340787,0,0,0,0,0,0,0,304,277,195
564,32224,38.9551706,-77.36309409,0,0,0,0,0,0,0,161,304,446
565,32225,38.96420774,-77.35428035,0,0,0,0,0,0,0,108,192,127
566,32227,38.92245,-77.23034,0,0,0,0,0,0,0,0,62,83
567,32229,38.92758983,-77.2265975,0,0,0,0,0,0,0,0,134,1085
568,32230,38.92400208,-77.20812678,0,0,0,0,0,0,0,0,0,124
569,32231,38.8828,-77.2283,0,0,0,0,0,0,0,0,0,955
570,32232,38.9001,-77.1887,0,0,0,0,0,0,0,0,0,361
571,32233,38.928502,-77.215624,0,0,0,0,0,0,0,0,0,115
572,32234,38.879355,-77.230681,0,0,0,0,0,0,0,0,0,468
573,32235,38.870093,-77.22997,0,0,0,0,0,0,0,0,0,417
574,32236,38.949008,-77.355299,0,0,0,0,0,0,0,0,0,0
575,32400,38.908391,-76.843263,0,0,0,0,0,0,0,0,129,109
576,32401,38.899811,-76.844604,0,0,0,0,0,0,0,0,242,238
