,station_id,lat,lng,address,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
238,31307,38.93037116666667,-77.05564050000001,3000 Connecticut Ave NW / National Zoo,0,99,8237,8878,8288,8267,8072,8018,7120,7118
239,31308,38.94389683333333,-77.07709316666667,39th & Veazey St NW,0,0,0,3831,4388,5024,4601,4681,3975,3735
240,31309,38.95479733333333,-77.08244016666667,Fessenden St & Wisconsin Ave NW,0,0,0,1885,1263,1705,1454,1353,1322,1126
241,31310,38.955016,-77.069956,Connecticut & Nebraska Ave NW,0,0,0,4141,5327,5161,4675,4699,4335,3986
242,31312,38.90849,-77.063586,Wisconsin Ave & O St NW,0,0,0,8547,11770,12041,11674,12094,9268,8697
243,31313,38.94116183333333,-77.0619945,Connecticut Ave & Tilden St NW,0,0,0,72,3798,3873,3937,3351,2666,2894
244,31314,38.90362316666667,-77.06757416666666,34th & Water St NW,0,0,0,0,4697,10980,10782,11630,9499,9399
245,31315,38.964543509245885,-77.07513481378554,Connecticut Ave & McKinley St NW,0,0,0,0,205,1955,2122,2164,1761,1847
246,31316,38.946182,-77.08059,Yuma St & Tenley Circle NW,0,0,0,0,0,0,1417,1842,1797,1389
247,31317,38.958267,-77.084636,Wisconsin Ave & Ingomar St NW,0,0,0,0,0,0,1249,2005,2011,2111
248,31318,38.947156,-77.065115,Connecticut Ave & Yuma St NW,0,0,0,0,0,0,2022,3009,2396,2648
249,31319,38.9498875,-77.0802025,Wisconsin Ave & Brandywine St NW,0,0,0,0,0,0,712,2847,2762,3194
250,31320,38.936298,-77.087128,American University East Campus,0,0,0,0,0,0,0,851,1561,1706
251,31321,38.892244,-77.033234,15th St & Constitution Ave NW,0,0,0,0,0,0,0,14970,26383,22649
252,31322,38.916998666666665,-77.09579033333333,48th Pl & MacArthur Blvd NW,0,0,0,0,0,0,0,0,185,1134
253,31323,38.923389,-77.051833,Woodley Park Metro / Calvert St & Connecticut Ave NW,0,0,0,0,0,0,0,0,240,14038
254,31324,38.911268,-77.041829,18th & New Hampshire Ave NW,0,0,0,0,0,0,0,0,0,16923
255,31325,38.91271133333333,-77.07439233333334,Reservoir Rd & 38th St NW,0,0,0,0,0,0,0,0,0,0
256,31326,38.90967633333333,-77.08557716666667,Hardy Rec Center,0,0,0,0,0,0,0,0,0,0
257,31327,38.910674,-77.03188,14th & Q St NW,0,0,0,0,0,0,0,0,0,0
258,31328,38.8983895,-77.04688016666667,21st St & G st NW,0,0,0,0,0,0,0,0,0,0
259,31400,38.9366839345886,-77.02418088912964,Georgia & New Hampshire Ave NW,1323,10045,12943,13245,13498,12806,12754,11808,11218,10926
260,31401,38.937428166666656,-77.03285966666667,14th St & Spring Rd NW,1125,7349,8200,8976,8687,9089,9222,9936,11151,11410
261,31402,38.947618166666665,-77.03283633333334,14th St Heights / 14th & Crittenden St NW,244,2281,2954,2603,2346,2509,2429,2198,1883,1542
262,31403,38.95655554772196,-77.01981425285341,5th & Kennedy St NW,0,0,0,1123,1309,1762,2176,2537,2055,2078
263,31404,38.9418,-77.0251,9th & Upshur St NW,0,160,5229,5599,6069,5981,7169,8152,6594,6348
264,31405,38.949662,-77.027333,Georgia Ave & Emerson St NW,0,0,0,1479,2330,2504,2165,2847,2690,2660
